,Caracteristica,Valor,Clase_AUC,Epsilon,nx,nc,ncx
2,Actinobacteriota,"(0.229, 0.415]",Alta,2.812691657683218,168,170,25
4,Actinobacteriota,"(1.395, 2.435]",Baja,1.9592993950489852,176,1162,118
17,Actinobacteriota,"(-0.001, 0.0741]",Media,1.9682091702887548,356,610,129
29,Actinobacteriota,"(1.025, 1.395]",Media,2.03758602247298,168,610,65
81,Campilobacterota,"(0.0105, 1.44]",Media,2.4194033492476854,156,610,63
86,Campilobacterota,"(0.00244, 0.0105]",Alta,1.8563360104225812,182,170,23
90,Cyanobacteria,"(-0.001, 0.0657]",Alta,1.8790232855464641,697,170,75
108,Cyanobacteria,"(0.172, 0.331]",Baja,2.1919926467640156,158,1162,108
134,Desulfobacterota,"(-0.001, 0.0267]",Alta,2.3481851388592774,702,170,79
141,Desulfobacterota,"(0.0267, 0.0671]",Media,2.1844966910786514,174,610,68
164,Euryarchaeota,"(0.00807, 0.0508]",Baja,1.9182841232353116,178,1162,119
178,Firmicutes,"(41.923, 46.994]",Alta,1.9283295133685943,161,170,21
186,Firmicutes,"(51.203, 53.211]",Alta,3.2250605029542596,172,170,27
188,Firmicutes,"(53.211, 57.3]",Baja,3.0885169463447273,177,1162,126
196,Firmicutes,"(67.323, 75.416]",Baja,2.0851321984782043,181,1162,122
202,Firmicutes,"(96.045, 146.388]",Alta,1.9049439792827865,171,170,22
230,Patescibacteria,"(1.39, 11.998]",Alta,2.4462288800939085,171,170,24
250,Proteobacteria,"(0.97, 1.373]",Alta,1.9412600854387163,179,170,23
268,Proteobacteria,"(7.51, 24.808]",Baja,2.915622832085671,168,1162,119
308,Verrucomicrobiota,"(0.337, 0.432]",Baja,1.8401664317915465,163,1162,109
321,Verrucomicrobiota,"(0.268, 0.337]",Media,2.4876686516800115,180,610,72
