,Caracteristica,Valor,Clase_AUC,Epsilon,nx,nc,ncx
98,Agathobacter,"(-0.001, 0.062]",Alta,2.1765699208961977,180,170,24
112,Akkermansia,"(0.15, 0.257]",Baja,2.4205204665997706,176,1162,121
137,Akkermansia,"(0.257, 0.356]",Media,2.4295004396040025,167,610,67
206,Alloprevotella,"(0.187, 6.654]",Alta,2.270202666730358,159,170,22
258,Anaerostipes,"(-0.001, 0.196]",Alta,3.1214586796413495,376,170,50
284,Anaerostipes,"(0.824, 1.097]",Baja,3.2268857312083123,165,1162,119
296,Anaerotruncus,"(0.0118, 0.294]",Baja,2.307875711406168,160,1162,110
358,Bacteroides,"(26.629, 28.622]",Alta,2.0569497128220102,175,170,23
364,Bacteroides,"(10.143, 15.099]",Baja,2.910747994688046,188,1162,132
398,Barnesiella,"(-0.001, 0.0446]",Alta,3.717215060084138,709,170,90
400,Barnesiella,"(0.78, 1.173]",Baja,2.431534822556016,179,1162,123
422,Bifidobacterium,"(-0.001, 0.0475]",Alta,2.133870922395569,698,170,77
436,Bilophila,"(0.0747, 0.0978]",Baja,2.2667801094161755,176,1162,120
442,Bilophila,"(-0.001, 0.0247]",Alta,2.174073057294514,888,170,96
453,Bilophila,"(0.0247, 0.0463]",Media,2.3938680124758203,162,610,65
482,Blautia,"(-0.001, 0.184]",Alta,2.0569497128220102,175,170,23
494,Blautia,"(10.338, 23.057]",Alta,2.6671463201742918,164,170,24
521,Butyricicoccus,"(0.14, 0.176]",Media,3.2204888207749294,165,610,71
540,Butyricicoccus,"(0.245, 0.3]",Baja,2.605108550567617,151,1162,106
592,Butyrivibrio,"(0.586, 1.701]",Baja,2.509494788068187,172,1162,119
641,CAG-56,"(-0.001, 0.046]",Media,2.1369125440386894,703,610,247
648,CAG-56,"(0.21, 0.278]",Baja,2.159673458016557,163,1162,111
652,CAG-56,"(0.386, 1.86]",Baja,2.6193326371166767,174,1162,121
658,CAG-56,"(0.278, 0.386]",Alta,2.4462288800939085,171,170,24
686,Candidatus_Saccharimonas,"(1.476, 12.4]",Alta,2.4462288800939085,171,170,24
766,Christensenellaceae_R-7_group,"(0.115, 0.232]",Alta,2.0277570877624553,176,170,23
773,Christensenellaceae_R-7_group,"(0.232, 0.369]",Media,3.632958697784631,177,610,78
782,Christensenellaceae_R-7_group,"(0.369, 0.601]",Alta,2.3810084765293635,182,170,25
784,Christensenellaceae_R-7_group,"(2.454, 13.83]",Baja,2.0008470452688623,174,1162,117
810,Clostridia_UCG-014,"(0.518, 0.705]",Alta,2.086326472011601,174,170,23
816,Clostridia_UCG-014,"(1.026, 1.524]",Baja,2.262162955591627,162,1162,111
844,Clostridia_vadinBB60_group,"(0.205, 0.367]",Baja,3.7024141938176314,168,1162,124
862,Clostridia_vadinBB60_group,"(0.367, 0.549]",Alta,2.9231103148895117,173,170,26
865,Clostridia_vadinBB60_group,"(0.108, 0.154]",Media,2.370453348579126,154,610,62
872,Clostridia_vadinBB60_group,"(0.837, 26.221]",Baja,2.365453258171221,175,1162,120
910,Clostridium_sensu_stricto_1,"(0.38, 0.558]",Alta,2.1760990050652094,162,170,22
938,Colidextribacter,"(-0.001, 0.019]",Alta,3.390958563495547,354,170,49
944,Colidextribacter,"(0.019, 0.0445]",Baja,2.0429415038641405,172,1162,116
978,Collinsella,"(0.159, 0.234]",Alta,2.454157690244856,162,170,23
996,Coprobacter,"(0.0222, 0.0337]",Baja,2.4541280240946883,171,1162,118
1030,Coprococcus,"(-0.001, 0.272]",Alta,2.613222628362341,183,170,26
1126,Dialister,"(0.0296, 0.206]",Alta,3.258156231310592,171,170,27
1134,Dialister,"(-0.001, 0.0296]",Alta,2.101611627879692,884,170,95
1136,Dialister,"(0.795, 1.998]",Baja,2.5452416569746257,167,1162,116
1152,Dorea,"(1.314, 1.848]",Baja,2.2420276724826627,170,1162,116
1169,Dorea,"(0.0886, 0.265]",Media,2.2983281766105286,189,610,74
1200,Eggerthella,"(0.0208, 0.0397]",Baja,2.881741538150556,176,1162,124
1308,Erysipelotrichaceae_UCG-003,"(0.578, 0.983]",Baja,2.8205303108708843,172,1162,121
1314,Erysipelotrichaceae_UCG-003,"(-0.001, 0.0416]",Alta,2.342812793758371,524,170,61
1341,Escherichia-Shigella,"(0.0316, 0.0547]",Media,2.6244208352967715,161,610,66
1402,Faecalibacterium,"(-0.001, 0.557]",Alta,2.294527486673854,176,170,24
1438,Family_XIII_AD3011_group,"(0.129, 0.188]",Alta,3.159523198497415,174,170,27
1469,Family_XIII_UCG-001,"(0.0629, 0.0859]",Media,2.901742685623102,162,610,68
1488,Family_XIII_UCG-001,"(0.0139, 0.0312]",Baja,3.339899911406599,173,1162,125
1504,Flavonifractor,"(0.0259, 0.0512]",Baja,2.935211499105104,177,1162,125
1508,Flavonifractor,"(0.12, 1.907]",Baja,2.128831470353711,168,1162,114
1562,Fusicatenibacter,"(1.611, 2.185]",Alta,2.5004495319871625,178,170,25
1566,Fusicatenibacter,"(-0.001, 0.0395]",Alta,3.042948984161499,186,170,28
1712,Holdemanella,"(0.226, 0.965]",Baja,2.464711239154723,174,1162,120
1796,Incertae_Sedis,"(0.177, 0.217]",Baja,2.409494091263271,173,1162,119
1812,Intestinibacter,"(0.53, 4.141]",Baja,2.2981561952704057,171,1162,117
1946,Lachnospira,"(-0.001, 0.0634]",Alta,2.1326768302289034,351,170,42
1966,Lachnospiraceae_FCS020_group,"(-0.001, 0.0596]",Alta,2.1726068850814513,525,170,60
1973,Lachnospiraceae_FCS020_group,"(0.0596, 0.0875]",Media,3.0711445556332015,181,610,76
1976,Lachnospiraceae_FCS020_group,"(0.157, 0.209]",Baja,2.6193326371166767,174,1162,121
1996,Lachnospiraceae_NC2004_group,"(0.00496, 0.0136]",Baja,2.399740459579393,184,1162,126
2010,Lachnospiraceae_ND3007_group,"(1.49, 4.128]",Alta,2.023468209371267,167,170,22
2030,Lachnospiraceae_ND3007_group,"(0.156, 0.231]",Alta,2.7041491819118306,180,170,26
2078,Lachnospiraceae_NK4A136_group,"(0.302, 0.366]",Alta,2.9993618726629045,179,170,27
2092,Lachnospiraceae_UCG-001,"(0.571, 1.772]",Baja,2.0008470452688623,174,1162,117
2116,Lachnospiraceae_UCG-001,"(0.23, 0.355]",Baja,2.1949135077441118,183,1162,124
2122,Lachnospiraceae_UCG-003,"(-0.001, 0.0198]",Alta,2.052042098956141,878,170,94
2140,Lachnospiraceae_UCG-003,"(0.0198, 0.0803]",Baja,2.2420276724826627,170,1162,116
2156,Lachnospiraceae_UCG-004,"(0.0581, 0.101]",Baja,2.2790882361203946,179,1162,122
2170,Lachnospiraceae_UCG-004,"(0.00359, 0.00922]",Alta,2.4154968462762363,172,170,24
2182,Lachnospiraceae_UCG-008,"(-0.001, 0.0158]",Alta,2.265056972767408,1219,170,129
2188,Lachnospiraceae_UCG-008,"(0.0574, 0.201]",Baja,2.2741915823890424,165,1162,113
2192,Lachnospiraceae_UCG-008,"(0.0313, 0.0574]",Baja,3.0241771567604947,170,1162,121
2197,Lachnospiraceae_UCG-010,"(0.208, 0.291]",Media,2.1844966910786514,174,610,68
2218,Lachnospiraceae_UCG-010,"(-0.001, 0.0181]",Alta,2.0027268387056956,526,170,59
